id,class_room_id,dayoftheWeek,from,to
299,104,thu,15:00,16:15
300,104,tue,12:00,13:15
301,104,thu,12:00,13:15
302,104,wed,15:00,16:15
303,104,fri,15:00,16:15
304,119,wed,09:00,10:15
305,119,fri,09:00,10:15
306,111,wed,13:30,14:45
307,111,fri,13:30,14:45
308,108,tue,10:30,11:45
309,108,thu,10:30,11:45
310,111,wed,09:00,10:15
311,111,fri,09:00,10:15
312,106,tue,10:30,11:45
313,106,thu,10:30,11:45
314,106,tue,13:30,14:45
315,106,thu,13:30,14:45
316,104,wed,13:30,14:45
317,104,fri,13:30,14:45
318,111,mon,09:00,10:15
319,111,wed,10:30,11:45
320,104,tue,10:30,11:45
321,104,thu,10:30,11:45
322,117,wed,15:00,16:15
323,117,fri,15:00,16:15
324,108,tue,15:00,16:15
325,108,thu,15:00,16:15
326,113,mon,10:30,11:45
327,113,wed,12:00,13:15
328,97,tue,15:00,16:15
329,97,thu,15:00,16:15
330,104,mon,10:30,11:45
331,104,wed,12:00,13:15
332,115,tue,12:00,13:15
333,115,thu,12:00,13:15
334,115,tue,10:30,11:45
335,115,thu,10:30,11:45
336,104,tue,13:30,14:45
337,104,thu,13:30,14:45
338,111,wed,15:00,16:15
339,111,fri,15:00,16:15
340,104,tue,16:30,17:45
341,104,thu,16:30,17:45
342,90,mon,09:00,10:15
343,90,wed,10:30,11:45
344,117,tue,15:00,16:15
345,117,thu,15:00,16:15
346,110,mon,15:00,16:15
347,110,wed,16:30,17:45
348,115,tue,13:30,14:45
349,115,thu,13:30,14:45
350,110,mon,16:30,19:15
351,117,tue,16:30,17:45
352,117,thu,16:30,17:45
353,109,wed,13:30,14:45
354,109,fri,13:30,14:45
355,91,mon,15:00,16:15
356,91,wed,16:30,17:45
357,115,wed,13:30,14:45
358,115,fri,13:30,14:45
359,115,tue,15:00,16:15
360,115,thu,15:00,16:15
361,76,tue,12:00,13:15
362,76,thu,12:00,13:15
363,61,mon,13:30,14:45
364,61,fri,12:00,13:15
365,45,mon,10:30,11:45
366,45,wed,12:00,13:15
367,57,tue,10:30,11:45
368,57,thu,10:30,11:45
369,82,tue,13:30,14:45
370,82,thu,13:30,14:45
371,76,tue,15:00,16:15
372,76,thu,15:00,16:15
373,61,wed,15:00,16:15
374,61,fri,15:00,16:15
375,117,wed,13:30,14:45
376,117,fri,13:30,14:45
377,68,mon,15:00,16:15
378,68,wed,16:30,17:45
379,98,mon,09:00,10:15
380,98,wed,10:30,11:45
381,99,tue,09:00,10:15
382,99,thu,09:00,10:15
383,102,tue,10:30,11:45
384,102,thu,10:30,11:45
